127.0.0.1 - - [19/Nov/2023:13:31:57 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [19/Nov/2023:13:31:58 +0530] "GET /KSEB-complaint-management/ HTTP/1.1" 200 685
0:0:0:0:0:0:0:1 - - [19/Nov/2023:13:31:58 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [19/Nov/2023:13:33:21 +0530] "GET /KSEB-complaint-management/ HTTP/1.1" 200 705
0:0:0:0:0:0:0:1 - - [19/Nov/2023:13:34:52 +0530] "GET /KSEB-complaint-management/ HTTP/1.1" 200 727
0:0:0:0:0:0:0:1 - - [19/Nov/2023:13:37:47 +0530] "GET /KSEB-complaint-management/ HTTP/1.1" 200 793
0:0:0:0:0:0:0:1 - - [19/Nov/2023:13:37:50 +0530] "POST /KSEB-complaint-management/ HTTP/1.1" 200 793
0:0:0:0:0:0:0:1 - - [19/Nov/2023:13:37:50 +0530] "POST /KSEB-complaint-management/ HTTP/1.1" 200 793
0:0:0:0:0:0:0:1 - - [19/Nov/2023:13:37:51 +0530] "POST /KSEB-complaint-management/ HTTP/1.1" 200 793
0:0:0:0:0:0:0:1 - - [19/Nov/2023:13:37:52 +0530] "POST /KSEB-complaint-management/ HTTP/1.1" 200 793
0:0:0:0:0:0:0:1 - - [19/Nov/2023:13:37:53 +0530] "POST /KSEB-complaint-management/ HTTP/1.1" 200 793
0:0:0:0:0:0:0:1 - - [19/Nov/2023:13:37:58 +0530] "GET /KSEB-complaint-management/ HTTP/1.1" 200 793
0:0:0:0:0:0:0:1 - - [19/Nov/2023:13:38:00 +0530] "POST /KSEB-complaint-management/ HTTP/1.1" 200 793
